word,onsets,offsets
est,438.38,438.48
bien,438.48,438.72
là,438.72,438.87
le,438.87,439.0
drame,439.0,439.46
la,440.03,440.22
planète,440.28,440.76
d',440.76,440.82
année,440.82,441.09
en,441.09,441.24
année,441.24,441.47
a,441.47,441.55
tourné,441.55,441.82
de,441.82,441.99
plus,441.99,442.42
en,442.42,442.48
plus,442.48,442.69
vite,442.69,443.03
et,443.39,443.44
la,443.44,443.55
consigne,443.55,444.06
n',444.06,444.12
a,444.12,444.22
pas,444.22,444.44
changé,444.44,445.01
alors,445.96,446.44
dit,446.71,446.96
le,446.96,447.07
petit,447.07,447.31
prince,447.31,447.86
alors,448.69,449.09
maintenant,449.09,449.52
qu',449.52,449.63
elle,449.63,449.75
fait,449.75,449.97
un,449.97,450.09
tour,450.09,450.38
par,450.38,450.55
minute,450.55,450.99
je,451.24,451.39
n',451.39,451.47
ai,451.47,451.57
plus,451.57,451.9
une,451.9,452.17
seconde,452.17,452.67
de,452.67,452.78
repos,452.78,453.25
j',453.84,453.95
allume,453.95,454.35
et,454.44,454.5
j',454.5,454.64
éteins,454.64,454.97
une,455.18,455.44
fois,455.44,455.72
par,455.72,455.9
minute,455.9,456.34
ça,456.34,456.44
c',457.64,457.68
est,457.68,458.0
drôle,458.0,458.52
les,458.66,458.87
jours,458.87,459.14
chez,459.14,459.34
toi,459.34,459.59
durent,459.59,459.82
une,459.91,460.12
minute,460.12,460.69
ce,461.58,461.77
n',461.77,461.8
est,461.8,461.86
pas,461.86,461.92
drôle,461.92,462.28
du,462.28,462.43
tout,462.43,462.67
dit,462.98,463.16
l',463.16,463.23
allumeur,463.23,463.88
ça,464.2,464.38
fait,464.38,464.49
déjà,464.49,464.82
un,464.82,464.98
mois,464.98,465.23
que,465.23,465.33
nous,465.33,465.46
parlons,465.46,465.8
ensemble,465.8,466.45
un,467.21,467.45
mois,467.45,467.85
oui,468.55,468.87
trente,469.18,469.49
minutes,469.49,470.02
trente,470.2,470.49
jours,470.49,470.82
bonsoir,471.11,471.84
et,472.63,472.75
il,472.75,472.82
ralluma,472.82,473.33
son,473.33,473.52
réverbère,473.52,474.25
le,475.32,475.42
petit,475.42,475.87
prince,475.87,476.29
le,476.29,476.43
regarda,476.43,477.05
et,477.32,477.36
il,477.36,477.48
aima,477.48,477.85
cet,477.85,478.14
allumeur,478.14,478.65
qui,478.65,478.83
était,478.83,479.12
tellement,479.17,479.67
fidèle,479.67,480.12
à,480.12,480.17
la,480.17,480.31
consigne,480.31,481.02
il,481.73,481.9
se,481.9,482.02
souvint,482.09,482.43
des,482.43,482.55
couchers,482.55,482.91
de,482.91,483.0
soleil,483.0,483.48
que,483.48,483.63
lui,483.63,483.93
même,483.93,484.24
allait,484.24,484.58
autrefois,484.58,485.02
chercher,485.02,485.52
en,485.52,485.66
tirant,485.66,485.96
sa,485.96,486.15
chaise,486.15,486.74
il,487.39,487.59
voulut,487.59,487.94
aider,487.94,488.2
son,488.2,488.46
ami,488.46,488.81
tu,489.69,489.91
sais,489.97,490.23
je,490.56,490.72
connais,490.72,491.05
un,491.05,491.14
moyen,491.14,491.42
